,date,duration,views,likes,category_id,hour,update_diff,id,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,2023-05-08T09:00:27Z,596,315994,1732,20,11,0.2375,,31.0,-1.1232876712328768,1.0,1.3333333333333333
2,2023-05-08T09:00:27Z,596,316035,1731,20,12,0.2388888888888889,,41.0,-0.5753424657534246,-1.0,-1.3333333333333333
3,2023-05-08T09:00:27Z,596,316117,1731,20,13,0.24027777777777778,,82.0,1.6712328767123288,0.0,0.0
4,2023-05-08T09:00:27Z,596,316191,1732,20,15,0.24166666666666667,,74.0,1.2328767123287672,1.0,1.3333333333333333
5,2023-05-08T09:00:27Z,596,316286,1732,20,16,0.24305555555555555,,95.0,2.3835616438356166,0.0,0.0
6,2023-05-08T09:00:27Z,596,316332,1732,20,17,0.24444444444444444,,46.0,-0.3013698630136986,0.0,0.0
7,2023-05-08T09:00:27Z,596,316394,1732,20,18,0.24583333333333332,TgEfURxqRGs,62.0,0.5753424657534246,0.0,0.0
8,2023-05-08T09:00:27Z,596,316447,1732,20,19,0.24722222222222223,TgEfURxqRGs,53.0,0.0821917808219178,0.0,0.0
9,2023-05-08T09:00:27Z,596,316488,1732,20,20,0.24861111111111112,TgEfURxqRGs,41.0,-0.5753424657534246,0.0,0.0
10,2023-05-08T09:00:27Z,596,316538,1734,20,21,0.25,TgEfURxqRGs,50.0,-0.0821917808219178,2.0,2.6666666666666665
11,2023-05-08T09:00:27Z,596,316603,1734,20,22,0.2513888888888889,TgEfURxqRGs,65.0,0.7397260273972602,0.0,0.0
12,2023-05-08T09:00:27Z,596,316651,1734,20,23,0.25277777777777777,TgEfURxqRGs,48.0,-0.1917808219178082,0.0,0.0
13,2023-05-08T09:00:27Z,596,316701,1734,20,0,0.25416666666666665,TgEfURxqRGs,50.0,-0.0821917808219178,0.0,0.0
14,2023-05-08T09:00:27Z,596,316765,1735,20,1,0.25555555555555554,TgEfURxqRGs,64.0,0.684931506849315,1.0,1.3333333333333333
