,duration,views,likes,category_id,hour,update_diff,id,date,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,3994,12480,759,22,18,29,tIcJ3OTloO8,2023-05-14T13:12:55Z,399.0,1.195710455764075,16.0,0.8292682926829268
2,3994,12814,775,22,19,30,tIcJ3OTloO8,2023-05-14T13:12:55Z,334.0,0.49865951742627346,16.0,0.8292682926829268
3,3994,13099,792,22,20,31,tIcJ3OTloO8,2023-05-14T13:12:55Z,285.0,-0.02680965147453083,17.0,0.926829268292683
4,3994,13418,798,22,21,32,tIcJ3OTloO8,2023-05-14T13:12:55Z,319.0,0.3378016085790885,6.0,-0.14634146341463414
5,3994,13708,807,22,22,33,tIcJ3OTloO8,2023-05-14T13:12:55Z,290.0,0.02680965147453083,9.0,0.14634146341463414
6,3994,13948,812,22,23,34,tIcJ3OTloO8,2023-05-14T13:12:55Z,240.0,-0.5093833780160858,5.0,-0.24390243902439024
7,3994,14146,818,22,0,35,tIcJ3OTloO8,2023-05-14T13:12:55Z,198.0,-0.9597855227882037,6.0,-0.14634146341463414
8,3994,14322,821,22,1,36,tIcJ3OTloO8,2023-05-14T13:12:55Z,176.0,-1.195710455764075,3.0,-0.43902439024390244
