,title,category_id,views,likes,favorites,comments,tags,dates
16,카자흐스탄의 이상한 사슴피 목욕탕  - 세계여행(17),19,1684391,27623,0,3407,"['녹혈 목욕', '카자흐스탄 여행', '러시아 여행', '러시아', '카자흐스탄', '여행유튜버', '여행유튜브']",2021-09-10T11:16:44Z
17,카자흐스탄 산골 온천마을 대모험 - 세계여행(18),19,1562178,33570,0,5148,"['카자흐스탄', '카자흐스탄 여행', '러시아', '소련', '카자흐스탄 시골']",2021-09-15T11:38:58Z
18,힘겨운 카자흐스탄 열차 꼬리칸 24시 - 세계여행(19),19,1912536,30476,0,3673,"['열차', '시베리아 열차', '카자흐스탄', '시베리아 횡단열차', '카자흐스탄 여행', '러아 여행', '러아']",2021-09-19T15:00:14Z
19,이상한 택시기사와 워터파크에서 1박 2일 - 세계여행(20),19,2888107,43807,0,5510,"['워터파크', '카자흐스탄 워터파크', '카자흐스탄', '카자흐스탄 여행', '중앙아시아', '여행유튜버']",2021-09-30T09:12:43Z
20,따뜻한 카자흐스탄 가정에서의 하루 - 세계여행(21),19,2189942,49105,0,5383,NaN,2021-10-04T03:30:39Z
21,130만원짜리 러시아 우주기지 투어 - 세계여행(22),19,1719406,30428,0,3615,"['러시아', '카자흐스탄', '우주선', '우주기지', '바이코누르', '러시아 우주선']",2021-10-09T04:02:06Z
22,카자흐스탄 농촌 가정방문 - 세계여행(23),19,1255285,22905,0,2093,"['카자흐스탄', '카자흐스탄 여행', '러시아', '러시아 여행', '알마티', '여행유튜버']",2021-10-14T10:24:05Z
23,우즈베키스탄 입국하자마자 이상한 동행 - 세계여행(24),19,2067632,38046,0,4332,"['세계여행', '여행유튜버', '우즈베키스탄', '타슈켄트', '우즈베키스탄 여행', '러시아 여행']",2021-10-18T06:17:21Z
24,러시아에서 만났던 이방인을 찾아서 - 세계여행(25),19,2310740,38194,0,2813,"['우즈베키스탄', '러시아 여행', '우즈베키스탄 여행', '중앙아시아 여행', '중앙아시아', '여행유튜버']",2021-10-22T10:50:04Z
25,우즈베키스탄 시골마을 먹방 일기 - 세계여행(26),19,2322667,40025,0,4744,"['우즈베키스탄', '중앙아시아', '러시아', '해외 먹방', '먹방']",2021-10-26T13:06:17Z
26,한국어 능력자가 넘쳐나는 이상한 마을 결혼식 - 세계여행(27),19,3432772,58727,0,7177,"['우즈베키스탄', '러시아', '소련', '중앙아시아', '여행', '세계여행', '여행유튜버']",2021-10-30T22:26:48Z
27,우즈베키스탄 시골집에 소파 선물해주기 - 세계여행(28),19,2850448,72057,0,8727,"['우즈베키스탄', '우즈벡', '우즈배키스탄', '러시아', '러시아 여행', '여행유튜버']",2021-11-05T08:46:42Z
28,열악한 우즈베키스탄 꼴찌팀에서 보낸 4일 - 세계여행(29),19,1931585,32106,0,2018,"['우즈베키스탄', '우주베키스탄', '우즈배키스탄', '투론', '김보용', '김보영']",2021-11-11T08:59:09Z
29,한국어 능력자 마을의 이상한 승마 축제 - 세계여행(30),19,1479707,32158,0,4182,"['우즈베키스탄', '우즈벡', '콥카리', '쿱카리', '콥카레', '축제']",2021-11-19T09:00:11Z
30,세 남자의 우즈베키스탄 마지막 이야기 - 세계여행(31),19,1586921,52880,0,5349,"['우즈베키스탄', '우즈배키스탄']",2021-11-24T15:16:33Z
31,"미식의 나라 스페인, 드디어 입성 - 세계여행(32)",19,2829836,38639,0,3860,"['스페인', '스페인 여행', '마드리드 여행', '마드리드', '빠니보틀']",2021-11-28T06:45:27Z
32,유럽 고급 이발소 체험 - 세계여행(33),19,1582931,26513,0,2784,"['마드리드 여행', '스페인 여행', '마드리드', '스페인 마드리드']",2021-12-02T12:35:16Z
33,스페인 환상의 섬에서 캠핑카 대모험 - 세계여행(34),19,1917346,27949,0,2156,"['캠핑카', '캠핑카 렌트', '스페인', '테네리페', '윤식당']",2021-12-06T09:01:11Z
34,날씨가 미친듯이 바뀌는 신비한 화산섬 여행 - 세계여행(35),19,1556613,24051,0,1348,NaN,2021-12-12T10:03:46Z
35,최고급 러시아 비즈니스석 입국 후기 - 세계여행(37),19,2401632,30635,0,3704,"['러시아', '러시아 여행', '러시아 항공', '아에로플로트']",2021-12-20T15:34:38Z
36,한겨울 극한 러시아에서 오로라를 보는 방법 - 세계여행(38),19,1096849,25815,0,2898,"['러시아', '오로라']",2022-01-05T10:20:45Z
37,시베리아 열차타고 반년만에 집으로 - 세계여행(끝),19,1695361,40132,0,4934,"['러시아', '시베리아', '시베리아 횡단열차', '시베리아횡단열차']",2022-01-10T10:38:08Z
