,id,date,duration,views,likes,category_id,update_diff
0,7aY1EeT6cM0,2023-04-30T07:55:06Z,783,18496,244,20,568
0,7aY1EeT6cM0,2023-04-30T07:55:06Z,783,18543,244,20,592
0,7aY1EeT6cM0,2023-04-30T07:55:06Z,783,18571,245,20,616
