,id,date,duration,views,likes,category_id,update_diff
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1273342,11026,22,303
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1284002,11130,22,327
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1294112,11263,22,351
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1310483,11438,22,375
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1322494,11536,22,399
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1332675,11609,22,423
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1332734,11609,22,423
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1342227,11689,22,447
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1342306,11689,22,447
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1353541,11811,22,471
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1353580,11811,22,471
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1364117,11910,22,495
0,fUey_cGXGpw,2023-05-05T09:00:33Z,661,1364203,11910,22,495
