,id,date,duration,views,likes,category_id,update_diff
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,306790,6427,24,39
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,370574,7019,24,63
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,419759,7527,24,87
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,448519,7832,24,111
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,463148,7987,24,135
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,463250,7987,24,135
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,471448,8068,24,159
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,471493,8068,24,159
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,476926,8117,24,183
0,vs0_l_U7wXo,2023-05-17T09:30:14Z,577,476926,8117,24,183
