video_id,video_title
yJ7PY30wCwM,피식대학의 자신감 넘치는 영어 인터뷰 [한글자막]
AGrhbTH1FBg,미국 진출을 위한 피식대학의 첫 번째 팟캐스트   The Psick Podcasts EP.0
n32feCOTlmE,LA교포 래퍼가 말해주는 피식대학의 가능성    The Psick Podcasts EP.1
Cc-5gpp998E,[한글자막] pH-1에게 에스파vs뉴진스를 묻다
BXQcC42RwPE,[한글자막] 릴체리&골드부다에게 수능 등급을 묻다
9I7GfeVEG28,[한글자막] 전태풍에게 태풍 예측경로를 묻다
kgDNFGZqkww,[한글자막] 쇼미11 프로듀서 슬롬에게 스포를 묻다
uEY8NLJO9fc,[한글자막] 따마에게 16강 진출 가능성을 묻다
miSmezkkDcU,[한글자막] 크라운제이에게 돌싱글즈 출연을 묻다
rO2WVv6f8LE,[한글자막] 디보에게 양동근 근황을 묻다
BAKh1_nnaYk,[한글자막] 존 케이에게 미준금리 인상의 원인을 묻다
-xeISugH9Qg,[한글자막] 미초바에게 빈지노 번호를 묻다
0cPAuQKtCQY,[한글자막] BTS RM에게 2022년 소득세를 묻다
-feFD3_hIHk,[한글자막] 갓세븐 뱀뱀에게 지하철 환승 해봤냐고 묻다
fKaBhqrlXdY,[한글자막] 카모에게 전화번호를 묻다
i8zxaQf7GMY,[한글자막] 오메가사피엔에게 머리에 크로마키 해도 되냐고 묻다
qW8pEIocLkU,[한글자막] 박재범에게 원소주 원가를 묻다
yU_Gx7Ncs9s,[한글자막] 립제이에게 쿨제이를 묻다
yCGVg2JLvTM,[한글자막] 폴블랑코에게 97년생이 맞냐고 묻다
rGa2r9uPtUg,[한글자막] 윤도현에게 2002 월드컵 수익을 묻다
jPTLzNr7L54,[한글자막] NCT 127 쟈니에게 광야 세계관을 묻다
teJRRF8eYRs,[한글자막] 영국래퍼에게 박지성  손흥민  김연아  페이커  BTS  강남스타일  김치  불고기  오징어게임을 아냐고 묻다
zi7-4XuCokI,[한글자막] 새소년 황소윤에게 층간소음 해결방안을 묻다
uOgpAfiAQmo,[한글자막] CL에게 롤리팝을 묻다
c_TbLKl1tcQ,[한글자막] 에픽하이에게 진실을 묻다
S_C9eOYD1I0,[한글자막] DPR LIVE&IAN에게도 빈지노 번호를 묻다
d-JPjnOniy4,[한글자막] 스텔라장에게 피식쇼 6개 국어 번역해 줄 수 있는지 묻다
SiVR5KEMfJY,[한글자막] 빅나티에게 시즌2 마지막화를 묻다
EPibmB7rBYk,[한글자막] 스윙스에게 키스 잘하는 법을 묻다
kGY6WD2i7b8,[한글자막] 장기하에게 가만히 있으면 안 되냐고 묻다
ImopmYQhx-A,[한글자막] 이하늬  이선균에게 파스타 맛집을 묻다
zS6tNxg3c1A,[한글자막] 지올팍에게 조계종을 묻다
