video_id,video_title
_32brVYDwoo,EP01-04   Refuse to marry! The medical student crossed and met a cute prince   [Little Mad Doctor]
NxT0SdhLUpo,EP05-08   From love to heartbreak! She left once she knew he was using her   [Little Mad Doctor]
5pA274TYlH8,EP09-12   The ugly girl turned out to be a great beauty! He kneeled to propose   [Little Mad Doctor]
g6BLwPzngnE,EP13-16  Wedding canceled! The prince and the eunuch turn out to be the same one [Little Mad Doctor]
lEDfP8ezYBI,EP17-20   Heartbroken! Jinghong's personal maid betrayed her   [Little Mad Doctor]
8yVxUUoAAC4,EP21-24  Mate for life! Her hair turned white overnight because of lovesickness [Little Mad Doctor]
KfQ3NvyNtvY,EP25-26   Got stabbed! She woke up from a dream and met a cute professor   [Little Mad Doctor]
fqZ-xJnZnXM,EP01   A medical student comes to a different world to become a poor princess   [Little Mad Doctor]
PAcbojVOhGg,EP02   The cold prince met the girl and asked for a hug directly   [Little Mad Doctor]
qDSQF28etNg,EP03   Falling into the arms of a beautiful man~ The prince hugs her in public   [Little Mad Doctor]
GEqfVfR0wCA,EP04   Show the love! Hug me first to repay my kindness!   [Little Mad Doctor]
