video_id,video_title
evWEuVR1XIs,Gold Mafia - Episode 1 - The Laundry Service I Al Jazeera Investigations
HYIcCoYt9YE,Gold Mafia - Episode 2 - Smoke & Mirrors   Al Jazeera Investigations
xP_rhbJHokw,Gold Mafia – Episode 3 – El Dorado I Al Jazeera Investigations
EEWehVHs8fc,Gold Mafia – Episode 4 – Have The King With You I Al Jazeera Investigations
