,id,title,category_id,views,likes,favorites,comments,date,date_gap_hours,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
15,azrdJsQqJ6k,[밥묵자] 쌍둥이가 가수가 되어서 돌아왔다 (feat. 이상호 이상민),23,706651,14385,0,,2021-03-21 12:00:01+00:00,1082819.66,722,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '깐풍치킨', '비비큐', '신메뉴', 'BBQ', '깐풍순살', '체고바', '체고치']",-0.015452403751767907,0.0,167.99777777777777,1101440.33919315,0.6415699288058132,-0.4257807022387965
16,7edC7JF4S1E,[밥묵자] 그만큼 신나시는 거지 (feat. 박영진 송준근),23,730226,14804,0,,2021-03-28 12:00:02+00:00,1072739.64,795,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '박영진', '농심', '송준근']",-0.0036454931908056847,0.013081894533079397,168.00027777777777,1091360.3225264833,0.6690970753907723,-0.4180532123580874
17,7DJT5AoAcdI,[밥묵자] 마지막 화 (feat. 쯔양),23,8081028,103022,0,,2021-04-01 11:45:13+00:00,1066994.45,777,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '쯔양', '먹방']",3.6778078160495857,2.767398295294889,95.75305555555556,1085615.13919315,7.443731860635229,1.4837393176777398
18,PXemHTr_xLs,[밥묵자] 무서운 우리새끼 (feat. 김종국),23,5075902,71515,0,,2021-04-04 14:18:13+00:00,1062521.45,843,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '김종국', '김준호', '런닝맨', '미우새', '유재석']",2.172770534759144,1.7836960254769116,74.55,1081142.13919315,4.694944185403887,0.7120927222338675
19,eKA9V0tQqBA,"[밥묵자] 7년만의 ""쉰"" 밀회 (feat.김지민)",23,2366483,32531,0,,2021-04-11 12:00:11+00:00,1052579.48,886,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '김지민', '도미노피자']",0.8158302248897187,0.5665490649099254,165.69944444444445,1071200.1725264834,2.2091884044590118,0.014285102258416112
20,tx7ttrcsmrw,[밥묵자] 구독자 50만 기념 비하인드 2,23,507839,9066,0,,2021-04-15 09:00:15+00:00,1046999.41,660,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '김지민', '김종국', '김준호']",-0.11502209632636054,-0.16606825064785039,93.00111111111111,1065620.1058598168,0.4765666462254295,-0.4721008390713005
21,rc2QmRZcSVg,[밥묵자] 아이돌은 처음이라 (feat.김세정),23,2287392,45474,0,,2021-04-18 12:00:31+00:00,1042499.14,892,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '김세정', '세정', 'warning']",0.7762196050306704,0.9706515969902276,75.00444444444445,1061119.83919315,2.155639651162566,-0.000747238559973445
22,jbe6gJnOnOU,[밥묵자] 택조왔나 오랜만이데이~ (feat.이창호),23,3157762,61822,0,,2021-04-25 12:00:31+00:00,1032419.13,718,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '이창호', '이택조', '김갑생할머니김', '매드몬스터']",1.2121212272976774,1.4810640357176308,168.0,1051039.83919315,3.004417037535051,0.23752368588636605
23,yTU08lhQ_A4,[밥묵자] 김준호의 오른팔 왼팔이 찾아왔다 (feat. 홍인규  조윤호),23,709301,12589,0,,2021-05-02 12:00:20+00:00,1022339.31,812,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '조윤호', '홍인규', 'CU', '씨유']",-0.014125221864745642,-0.056074182771863,167.99694444444444,1040960.0225264834,0.6813912010554223,-0.4146019744547132
24,OKsO8gPhBUc,[밥묵자] 슈퍼맨이 놀러왔다 (feat. 샘 해밍턴),23,1871226,39717,0,,2021-05-09 12:00:16+00:00,1012259.38,659,"['꼰대희', '김대희', '밥묵자', '장동민', '신봉선', '유세윤', '개콘', '개콘레전드', '샘해밍턴', '햄새밍턴', '슈돌', '슈퍼맨이돌아왔다', '벤틀리', '윌리엄']",0.567793953259158,0.7909082394080365,167.9988888888889,1030880.08919315,1.815173286996524,-0.0963238133311656
