,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes
19,Zy9nlVNtvcg,[불타는 청춘] 밤바다를 배경으로 추억에 빠진 불청 멤버들│9회,24,127067,1103,0,,2021-12-30 08:00:12+00:00,673071.16,753,"['SBS', '스트로', '빽능', '빽드', '김선경', '강수지', '양금석', '김완선', '김도균', '김국진', '김일우', '김동규', '조정현', '불청', '불타는청춘']",1.3646777696151642,1.9274092615769711,48.000277777777775,681143.3753342667,0.18654956445497645
20,0QLEb1nlmPc,[불타는 청춘] 제작진과 멤버들의 한 판 승부│10회,24,61945,461,0,,2022-01-04 08:00:00+00:00,665871.36,1179,"['SBS', '스트로', '빽능', '빽드', '김선경', '강수지', '양금석', '김완선', '김도균', '김국진', '김일우', '김동규', '조정현', '불청', '불타는청춘']",0.3132290850965924,0.32040050062578224,119.99666666666667,673943.5753342666,0.0919142228921407
21,hLcRqvhJceU,[불타는 청춘] 금석의 공연장에 멋있게 차려입고 나타난 도균│10회,24,159420,1015,0,,2022-01-06 08:00:15+00:00,662991.12,1010,"['SBS', '스트로', '빽능', '빽드', '김선경', '강수지', '양금석', '김완선', '김도균', '김국진', '김일우', '김동규', '조정현', '불타는청춘', '불청', '김국진강수지', '치와와커플']",1.8870437794156825,1.707133917396746,48.00416666666667,671063.3253342666,0.23756327306456587
22,Ehe5hpJ_2qY,[불타는 청춘] 손바닥 밀치기를 40금으로 만들어버리는 불청 클라쓰│11회,24,196642,1000,0,,2022-01-11 08:00:08+00:00,655791.23,1087,"['SBS', '스트로', '빽능', '빽드', '진미령', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '불청', '불타는청춘김국진강수지', '김국진강수지']",2.488023831243794,1.6695869837296622,119.99805555555555,663863.4420009333,0.29620850849582336
23,reF1y1CTSPQ,[불타는 청춘] 밥 먹다가도 40금 토크 시작하는 새 멤버 진미령│11회,24,304416,2186,0,,2022-01-13 08:00:31+00:00,652910.85,1039,"['SBS', '스트로', '빽능', '빽드', '진미령', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '불타는청춘', '불청', '김국진강수지', '치와와커플']",4.228124419759266,4.638297872340425,48.006388888888885,660983.0586676,0.4605503817505358
24,nhZhYoiCHVI,[불타는 청춘] 아픈 곳 하나씩은 다 있는 모임│12회,24,100012,749,0,,2022-01-18 08:00:16+00:00,645711.1,965,"['SBS', '스트로', '＂KIM JONG KOOK＂', '빽능', '빽드', '진미령', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '강수지김국진', '치와와커플', '불청치와와', '불타는청춘']",0.9278523625384473,1.0413016270337923,119.99583333333334,653783.3086676,0.15297423270689314
25,WDq0q_miEqk,[불타는 청춘] 최고의 성악가 김동규🎤무대를 뒤집어 놓으셨다🎤│12회,24,151273,1140,0,,2022-01-20 08:00:11+00:00,642831.19,948,"['SBS', '스트로', '빽능', '빽드', '진미령', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '불타는청춘', '불청', '김국진강수지', '치와와커플']",1.7555037095042423,2.0200250312891113,47.99861111111111,650903.3920009334,0.2324046884054079
26,h4r-vORYW7k,[불타는 청춘] 훅 들어온 국진에 놀란 수지│13회,24,157864,1147,0,,2022-01-25 08:00:15+00:00,635631.12,825,"['SBS', '스트로', '빽능', '빽드', '진미령', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '불청', '불타는청춘', '불청 김국진강수지']",1.8619208692914402,2.037546933667084,120.00111111111111,643703.3253342666,0.24524341227851093
27,EZxJAk0xA_k,[불타는 청춘] 힐링하러 왔다가 멍석말이 당한 일우와 도균│13회,24,60594,492,0,,2022-01-27 08:00:10+00:00,632751.21,1123,"['SBS', '스트로', '빽능', '빽드', '진미령', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '불타는청춘', '불청']",0.29141606994373176,0.3979974968710889,47.99861111111111,640823.4086676,0.094556470909805
28,VzlYUCB78P4,[불타는 청춘] 새 남자친구를 데리러 간다는 수지에 당황한 국진│14회,24,76446,588,0,,2022-02-08 08:00:22+00:00,615471.01,812,"['SBS', '스트로', '빽능', '빽드', '허윤정', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불타는청춘', '불청', '김국진강수지', '치와와커플']",0.5473597532917309,0.6382978723404256,288.00333333333333,623543.2086676001,0.12259936270230797
