,id,title,category_id,views,likes,favorites,comments,date,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes
32,9NoBGXrc5RY,(161224) 길은지♥️조정구 예비부부 가편집본2 (신랑 전달용),23,777083,11333,0,,2022-12-24 10:00:07+00:00,463,,-0.4852496265641318,-0.27081902600698693,167.99972222222223,164063.48402745,4.736477495930683
33,XjTMHAZr424,[05학번이즈히어] 신도시 아재들은 송년회 때 무엇을 하는가,23,1047359,10195,0,,2022-12-31 10:00:07+00:00,1311,,-0.1882852934664792,-0.40673613806694336,168.0,153983.48402745,6.801761933203769
34,_9HE3qI9EUQ,[05학번이즈히어] 신도시 새언니는 시누이와 어떤 사이인가,23,1854490,22042,0,,2023-01-07 10:00:11+00:00,1612,,0.6985456465261263,1.0082111612074887,168.0011111111111,143903.41736078335,12.887046284318378
35,NsRPxHC84qw,[05학번이즈히어] 신도시 카페 사장은 어떻게 사는가,23,1155338,12953,0,,2023-01-14 10:00:11+00:00,1395,,-0.06964393528613236,-0.0773342091905288,168.0,133823.41736078335,8.633302173753703
36,g8hHENfLKSk,[05학번이즈히어] 서준이 영어유치원 학예회 ASMR,23,1471262,20080,0,,2023-01-28 10:00:07+00:00,1219,,0.2774758976607175,0.7738795497297781,335.99888888888887,113663.48402745,12.94401638827723
37,1Hu2sHhsSPI,[05학번이즈히어] 신도시 고깃집 여사장은 어떻게 일하는가,23,1238516,12722,0,,2023-02-04 10:00:07+00:00,1063,"['소주', '제로슈거', '진로']",0.021747454620468846,-0.10492371084769042,168.0,103583.48402745,11.956693787899514
38,hBgp-u5aEtE,[05학번이즈히어] 길은지 너는 솔로 지원 영상,23,679757,8837,0,,2023-02-11 10:00:09+00:00,754,,-0.5921860570391356,-0.5689289659908632,168.00055555555556,93503.45069411668,7.269860042103996
39,ZmGE4t_cF8k,[05학번이즈히어] 조정구 돌싱글즈 지원 영상,23,532989,6658,0,,2023-02-18 10:00:06+00:00,1005,,-0.7534466249033791,-0.8291779881162104,167.99916666666667,83423.50069411666,6.388955097368485
40,cLnyqMk2zvc,[05학번이즈히어] 신도시 아재의 퇴근길 플레이리스트,23,469469,9829,0,,2023-02-20 09:30:11+00:00,5780,,-0.8232388907292864,-0.45044937445880984,47.50138888888889,80573.41736078334,5.826599086617614
41,6kzKcWd1zNo,[05학번이즈히어] 신도시 돌싱은 어떤 집에서 사는가,23,756718,7260,0,,2023-02-25 10:00:09+00:00,1051,,-0.5076255631753503,-0.7572780747066375,120.49944444444445,73343.45069411668,10.317458380243636
42,HETOdCMZ7EQ,[05학번이즈히어] 신도시 돌싱은 재혼할 생각이 있는가,23,1177662,14251,0,,2023-03-04 10:00:08+00:00,1810,,-0.045115557731070136,0.07769251440685557,167.99972222222223,63263.46736078333,18.615198457017012
43,hhQVUlio3us,[05학번이즈히어] 신도시 이혼부부는 왜 만났는가,23,1199049,16655,0,,2023-03-11 10:00:11+00:00,965,,-0.021616703996519177,0.36481442775671075,168.00083333333333,53183.41736078333,22.54554256763803
44,aT5QFgcSHfI,[05학번이즈백] 형들이 돌아왔습니다;;;,23,1143834,20762,0,,2023-03-17 10:00:10+00:00,1511,,-0.08228389476442638,0.8553342689080649,143.99972222222223,44543.43402745,25.679070888317895
45,91RnwXcYld0,[05학번이즈히어] 신도시 부부는 침실에서 무슨 대화를 나누는가,23,824172,10640,0,,2023-03-18 10:00:09+00:00,1456,,-0.43351083554593056,-0.35358753097847184,23.99972222222222,43103.45069411666,19.12078932725667
46,-YkkB_AOBqQ,[05학번이즈히어] 신도시 아재들 : 세상에 완벽한 이혼은 없다,23,834869,10216,0,,2023-03-25 10:00:11+00:00,1755,,-0.4217575630720683,-0.4042280015526559,168.00055555555556,33023.417360783336,25.281120693203643
47,KhfUS-rFyG4,[05학번이즈히어] 신도시 아재들은 모터쇼에서 무엇을 할까,23,444510,5233,0,,2023-04-01 03:00:11+00:00,1075,,-0.8506624606718055,-0.9993729658714281,161.0,23363.417360783333,19.025898186715285
48,xsNY6s5uL3I,[05학번이즈히어] 신도시 부부는 돈을 어떻게 빌리는가,23,726430,9078,0,,2023-04-08 10:00:07+00:00,1624,,-0.5409043438323887,-0.5401451136126123,174.9988888888889,12863.48402745,56.47225887246694
49,hScD0BUBbzI,[05학번이즈히어] 신도시 아재도 바람을 피울까?,23,501695,7502,0,,2023-04-15 10:00:08+00:00,1052,,-0.7878307427679248,-0.7283747872562778,168.00027777777777,2783.4673607833333,180.24102134928975
