,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,XQG6uzC1QDw,Diablo 4 Rogue - BETA 1 - PC - Episode 1,20,101,5,0,,2023-03-19 10:00:28+00:00,33588.86,4704,,4.230769230769231,2.0,0.0,53239.82694958334,0.0018970760385011063,1.7363201113894149
1,gk8NNaDIlWQ,Diablo 4 Rogue - BETA 1 - PC - Episode 2,20,48,2,0,,2023-03-21 10:00:33+00:00,30708.77,3565,,0.15384615384615385,-1.0,48.00138888888889,50359.74361625,0.0009531422631093666,-0.029344121064395105
2,EOCxZiCtYTg,Diablo 4 Rogue - BETA 1 - PC - Episode 3,20,49,3,0,,2023-03-22 10:00:16+00:00,29269.06,7036,,0.23076923076923078,0.0,23.995277777777776,48920.026949583334,0.001001634771184797,0.061362970135124054
3,I9hqW5Mkfmw,Diablo 4 Rogue - BETA 1 - PC - Episode 4,20,46,3,0,,2023-03-23 10:00:20+00:00,27829.0,3864,,0.0,0.0,24.00111111111111,47479.96028291667,0.0009688297910508328,0.0
4,ccI4qWrAWHI,Diablo 4 Rogue - BETA 1 - PC - Episode 5,20,35,3,0,,2023-03-24 10:00:33+00:00,26388.78,5386,,-0.8461538461538461,0.0,24.003611111111113,46039.74361625,0.0007602127477453315,-0.3902261591306278
5,vkPguzWwUWg,Diablo 4 Rogue - BETA 1 - PC - Episode 6,20,24,4,0,,2023-03-27 10:00:40+00:00,22068.67,5110,,-1.6923076923076923,1.0,72.00194444444445,41719.62694958333,0.0005752688064301997,-0.7361708754891926
6,Xtc3RfQbG1Q,Diablo 4 Rogue - BETA 1 - PC - Episode 7,20,30,4,0,,2023-03-29 10:00:32+00:00,19188.8,7134,,-1.2307692307692308,1.0,47.99777777777778,38839.76028291667,0.0007724043552656847,-0.3674212909333128
7,T3_e2kcRULU,Diablo 4 Rogue - BETA 1 - PC - Episode 8,20,47,3,0,,2023-03-31 10:00:21+00:00,16308.99,6657,,0.07692307692307693,0.0,47.996944444444445,35959.94361625,0.0013070098357651789,0.6325787090666871
8,sqW1IlwLc-E,Diablo 4 Rogue - BETA 1 - PC - Episode 9,20,38,3,0,,2023-04-05 10:00:43+00:00,9108.62,4590,,-0.6153846153846154,0.0,120.00611111111111,28759.57694958333,0.0013212989908236653,0.659307120165533
