,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,zXJn4JeMq70,한강좌의 면접,23,1084577,41281,0,,2022-09-21 09:00:36+00:00,291410.07,35,,-0.3563318966846657,-0.10097916057200874,0.0,311059.7530592833,3.486715942300951,-0.9050327141686043
1,kGIVpvRicuM,남자들이 2d를 좋아하는 이유,23,1396516,43651,0,,2022-09-28 11:30:09+00:00,281180.52,35,,0.0,-0.019411126981122333,170.4925,300830.2030592833,4.642206752507476,-0.8166376728369656
2,Lskd6HNCzVE,남자들이 엄마를 찾는 이유,23,1758406,51480,0,,2022-10-11 12:00:13+00:00,262430.45,33,,0.4133915608218712,0.25003871900328684,312.50111111111113,282080.13639261667,6.233710825892899,-0.6948876190037975
3,OANsWf3DPn4,남자들의 롤모델,23,3112860,90192,0,,2022-10-23 12:00:27+00:00,245150.23,38,,1.9606016332787688,1.5823854347713857,288.00388888888887,264799.90305928333,11.755517898747469,-0.2724694049263753
4,AkR9uITAMv0,김한강 시리즈 시즌1 모음집,23,362560,4126,0,,2022-10-29 12:00:08+00:00,236510.55,164,,-1.1811011209515008,-1.3797387757911583,143.9947222222222,256160.21972595,1.415364182572456,-1.0634911136610563
5,H8GUCFvorgw,남자들이 직캠에 빠지는 이유,23,3032372,84733,0,,2022-11-19 12:25:31+00:00,206245.16,43,,1.8686591647180715,1.394503622377863,504.42305555555555,225894.83639261668,13.423821670405886,-0.14484417455079446
6,cP96pigYljM,남자들의 전생체험,23,1378256,39588,0,,2022-12-12 12:00:30+00:00,173150.18,43,,-0.020858630801092508,-0.15924695840718625,551.5830555555556,192799.85305928334,7.148636153660371,-0.6248958359026289
7,o_o3V4GGP7s,남자들이 논쟁을 피하는 이유,23,2181968,69426,0,,2022-12-28 12:20:02+00:00,150090.65,44,,0.8972318335147706,0.8676842594345304,384.3255555555556,169740.31972595,12.854741899407532,-0.18837877424995425
8,0DYl25O-Lp8,남자들이 마술을 좋아하는 이유,23,1187471,42244,0,,2023-01-15 12:00:02+00:00,124190.65,48,,-0.23879476866453359,-0.06783569375849667,431.6666666666667,143840.31972595,8.2554808155489,-0.5402222246794874
9,7W12SakS1zQ,남자들이 중고거래를 좋아하는 이유,23,2735136,79323,0,,2023-01-20 12:00:05+00:00,116990.6,40,,1.5291226923854575,1.208308237683055,120.00083333333333,136640.26972595,20.01705650527238,0.359538258082361
10,zT-7l8LUczo,남자들이 취업을 좋아하는 이유,23,1938541,58034,0,,2023-01-27 12:00:41+00:00,106910.01,29,,0.6191620679059237,0.4756070279293077,168.01,126559.66972595,15.317209694033505,0.0
11,kBv1D-_QjvY,남자들이 유부남을 좋아하는 이유,23,2678008,97931,0,,2023-02-01 12:00:26+00:00,99710.26,27,,1.4638646496469683,1.8487377604928499,119.99583333333334,119359.91972595,22.436409191198333,0.5446187267275524
12,C8PfX_u5T_8,남자들이 수업을 좋아하는 이유,23,3657872,127238,0,,2023-02-04 06:00:04+00:00,95750.63,30,,2.5831757893666674,2.8573936087831906,65.99388888888889,115400.28639261666,31.697252358240522,1.25307318373029
13,6NhmbzHuZZ4,남자들이 조언을 좋아하는 이유,23,1680845,50942,0,,2023-02-10 12:00:13+00:00,86750.48,32,,0.3247926416781945,0.2315224312092375,150.0025,106400.13639261667,15.797395163082117,0.03673418603460618
14,mVk8uIwnD6Q,남자들이 초콜릿을 좋아하는 이유,23,1292186,38389,0,,2023-02-14 12:02:38+00:00,80988.06,27,,-0.11917748912803841,-0.20051281168797647,96.04027777777777,100637.71972595,12.83997693428265,-0.1895082940098223
15,0CkWRkjr-fE,남자들이 낯선 사람을 좋아하는 이유,23,1376782,41815,0,,2023-02-16 12:00:01+00:00,78110.68,27,,-0.022542399793469853,-0.08260054034520142,47.95638888888889,97760.33639261666,14.083237136896567,-0.09439889458812015
