,title,category_id,views,likes,favorites,comments,date,duration,tags
0,[백종원 시장이 되다 13화] 재개장 완료한 환상의 예산시장... 뭔가 보여드리겠습니다!💪,22,1348106,19016,0,NaN,2023-04-17T10:00:30Z,1050,"['백종원', '시장', '백종원예산', '예산시장', '재개장', '더본코리아', '지역경제', '활성화 리모델링', '비하인드스토리', '창업', '자영업', '젠트리피케이션', '음식여행', 'theborn', 'paik jong won', '얘산', '백종원거리', '족발 볶음밥', '구구통닭', '배종원', '정보', '꿀팁', '재개발', '상권', '요리']"
1,NCT DOJAEJUNG 엔시티 도재정 'Perfume' MV,10,4315660,293604,0,NaN,2023-04-17T09:00:07Z,187,"['nct dojaejung', 'perfume', 'mv', 'music video', 'doyoung', 'jaehyun']"
2,IVE (아이브) - I AM | Show! MusicCore | MBC230415방송,10,1576445,63629,0,NaN,2023-04-15T07:45:10Z,196,"['mbc', 'KPOP', 'dance', 'song', 'korea', 'korean', 'show', 'music core', 'live', 'stage', 'girl', 'boy', 'idol', '한류', 'korean wave', 'ingigayo', 'show champion', 'mnet', '엠넷', 'music bank', '쇼 음악중심', '쇼음악중심', '쇼음중', '음중', '예능 연구소 아이브', '아이브', 'IVE', '아이 엠', 'I AM', 'I AM Fancam', 'IVE Fancam', '아이브 직캠', '아이 엠 직캠', '아이브 아이 엠', 'I AM IVE', '아이 엠 I AM', '아이브 IVE', '안유진', '가을', '장원영', '리즈', '이서']"
3,[범죄도시3] 2023년 상반기 출격! 런칭 예고편 공개,24,516158,3856,0,NaN,2023-04-17T06:32:02Z,27,NaN
4,[SUB] 정신 차렸더니 안유진이 술 마실 나이가 된 건에 대하여..👀  [차린건 쥐뿔도 없지만] EP.15 #이영지 #안유진 (ENG/JPN/SPA/IND),22,7331899,210313,0,NaN,2023-04-14T10:00:35Z,1408,NaN
5,[UFC] 맥스 할로웨이 vs 아놀드 앨런,17,774164,7356,0,NaN,2023-04-16T05:34:55Z,915,"['UFC레전드', 'UFC명장면', 'tvNSPORTS', 'tvN스포츠', 'ufc', 'ufcfn114', 'ufcfreefight', 'ufcko장면', 'ufc기술', 'ufc난타전', 'ufc하이라이트', 'ㅕㄹㅊ', '게라드 미어슈어트', '격투기', '김동현', '니코 프라이스', '루이스 페냐', '맥스할로웨이.아놀드앨런', '맥켄지 던', '맷 프레볼라', '미셸 워터슨', '아만다 히바스', '앤서니존슨', '에릭 앤더스', '요안나 옌드레이칙', '은가누', '정찬성', '제임스 빅', '컵 스완슨', '코너맥그리거', '크론 그레이시', '티비엔스포츠', '파이트나이트', '프랜시스은가누', '하이라이트']"
6,할로웨이의 콜아웃에 답하겠습니다!,17,572836,13528,0,NaN,2023-04-17T12:10:00Z,447,"['정찬성', '코리안좀비', '코리안 좀비', 'koreanzombie', 'korean zombie', 'chan sung jung', 'chansung', 'chan sung', 'KZ', 'MMA', 'UFC', '종합격투기', '종합 격투기', '코좀', '격투기', 'AOMG', '허성태', '카지노', '오징어게임', '범죄도시', '미끼', '독사', '최민식', 'squid game', '고투짐', '좀비짐', '운동', '헬스', '피트니스', '태권도', '주짓수', '유도', '매미킴', '최두호', '슈퍼보이', '김동현', '말모이', '윤계상', '장첸', '호신술', '스트레스', '직장인', '정국', 'BTS', '박재범', 'jay park', '고경표', '던', '현아', '좀비트립', '좀트', 'zombie trip', '하승진', '안일권', '박문호', '저승문호', '할로웨이', 'ufc', '추성훈', '피지컬', '순정파이터', '피식대학', '숏박스', 'holloway', 'max', 'callout']"
7,10대들 차량 둘러싸더니.... 경찰도 안무섭다 #사건테잎,25,645933,4537,0,NaN,2023-04-17T09:00:03Z,163,"['10대', '차량', '운전', '보복운전', '음주운전', '범죄', '사기', '전과', '보복', '폭행', '폭언', '난투극', '난동', '파손', '기물파손']"
8,[하이라이트] 네가 알던 '이대은'이 아냐💥 엄청난 강속구(=143km/h)에 '위즈' 일동 당황;; (vs 위즈 개막전) | 최강야구 | JTBC 230417 방송,24,631600,4016,0,NaN,2023-04-17T15:38:27Z,1400,"['최강야구', '김성근', '이대호', '박용택', '유희관', '정근우', '송승준', '이택근', '장원삼', '정의윤', '서동욱', '정성훈', '이홍구', '김문호', '이대은', '김선우', '정용검', '오세훈', '오주원', '최수현', '신재영', '정현수', '선성권', '황영묵', '원성준', '박재욱', '이광길', '최강몬스터즈', 'ktwiz', 'kt위즈', '프로야구ktwiz', 'kt위즈개막전', '최강야구kt위즈', '최강야구개막전', '위즈개막전', '최강야구위즈', '최강야구위즈개막전', '프로야구최강야구']"
9,Resumen de RC Celta vs RCD Mallorca (0-1),17,77718,1504,0,NaN,2023-04-17T21:14:20Z,189,"['liga', 'laliga', 'laliga santander', 'football', 'resumen', 'goles', 'highlights', 'goal', 'gol', 'Amath', 'Iago Aspas', 'Gabri Veiga', 'Seferovic', 'de la Torre', 'Fran Beltrán', 'Miguel Rodríguez', 'Javi Galán', 'Unai Núñez', 'Aidoo', 'Hugo Mallo', 'Iván Villar', 'Carles Pérez', 'Paciencia', 'Franco Cervi', 'Strand Larsen', 'Tapia', 'Muriqi', 'Kang-in Lee', 'Ruiz de Galarreta', 'Morlanes', 'Hadzikadunic', 'Raíllo', 'Valjient', 'Maffeo', 'Antonio Sánchez', 'Rajkovic', 'Idrissu Baba', 'Kadawere']"
