,title,category_id,views,likes,favorites,comments,date,duration,tags
0,Ahsoka | Teaser Trailer | Disney+,24,6227971,223550,0,NaN,2023-04-07T11:36:21Z,112,NaN
1,Indiana Jones and the Dial of Destiny | Official Trailer,1,4709454,NaN,0,NaN,2023-04-07T11:57:51Z,129,NaN
2,YoungBoy Never Broke Again feat. Nicki Minaj - WTF ( Official Music Video),10,1605232,152244,0,NaN,2023-04-07T04:00:11Z,168,"['YoungBoy Never Broke Again', 'NBA YoungBoy', 'YoungBoy Quando Rondo', 'YoungBoy Leak', 'Make No Sense YoungBoy', 'Youngboy Lost Motives', 'YoungBoy NBA Music Video', 'YoungBoy Never Broke Again TOP', 'nba youngboy top', 'YoungBoy NBA TOP album', '7KTt4_M09Rw', '0C80BSgjb8M', 'qChxuVxs8FA', 'dYk-yCsuTUo', '6MCSr65d9Xc', 'ALimx-H8C6s', 'YoungBoy Never Broke Again Sincerely Kentrell', 'Sincerely Kentrell', 'Youngboy NBA Sincerely Kentrell', 'Sincerely Kentrell album', 'YBNBA Sincerely Kentrell', 'YB Sincerely Kentrell', 'Kentrell']"
3,NF - HAPPY,10,1671951,158975,0,NaN,2023-04-07T04:00:12Z,247,"['HAPPY', 'NF HOPE', 'HOPE NF', 'HAPPY music video', 'NF HAPPY music video', 'New NF', 'New NF music video', 'New NF video', 'NF music video', 'HAPPY video', 'music video', 'HAPPY official music video', 'NF HAPPY', 'HAPPY song', 'NF HAPPY song', 'HAPPY lyrics', 'New NF song', 'HAPPY rap', 'NF 2023', 'HAPPY audio', 'nfrealmusic', 'nf fans', 'nf official', 'NF lyrics', 'nf real music', 'new NF album', 'new NF music']"
4,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,24,997375,84105,0,NaN,2023-04-07T16:00:10Z,171,"['Jack Black', 'Peaches', 'Peaches Song', 'Bowser', 'SUper Mario', 'Luigi', 'Donkey Kong', 'Seth Rogan', 'Lyrical Lemonade', 'COle Bennett', 'School of Rock', 'Nacho Libre', 'Tropic Thunder', 'music video', 'new']"
5,Search & Rescue,10,756288,40136,0,NaN,2023-04-07T04:01:46Z,273,"['Drake', 'ドレイク', 'Search & Rescue']"
6,Where is Pushpa? | Pushpa 2 - The Rule 🔥 | Telugu | Allu Arjun | Sukumar | Rashmika | Fahadh Faasil,24,18689442,571540,0,NaN,2023-04-07T10:35:10Z,195,"['Where is Pushpa?', 'Pushpa 2 - The Rule (Telugu)', 'Allu Arjun', 'Sukumar', 'Rashmika Mandanna', 'DSP', 'Hunt before The RULE', 'Pushpa: The Rule Glimpse', 'Mythri Movie Makers', 'Fahadh Faasil', 'Allu Arjun Pushpa', 'Allu Arjun Pushpa Movie', 'Devi Sri Prasad', 'Sukumar Latest Movie', 'Pushpa 2 Teaser', 'Allu Arjun and Rashmika Movie', 'pushpa 2 telugu movie', 'Pushpa 2 The Rule', 'Pushpa 2', 'Pushpa 2 The Rule - Pooja Ceremony', 'Pushpa: The Rule', 'Pushpa Telugu Teaser', 'Pushpa 2 Telugu Movie Updates']"
7,Labrinth - Never Felt So Alone (Official Video),10,528503,89538,0,NaN,2023-04-07T16:00:10Z,166,"['Labrinth and Billie Eilish', 'Billie Eilish', 'Never Felt So Lonely', 'Euphoria', 'Euphoria Music', 'Euphoria vibes', 'Maddie Euphoria', 'Maude Apatow', 'Angus Cloud', 'Eric Dane', 'Alexa Demie', 'Jacob Elordi', 'Barbie Ferreira', 'Dominic Fike', 'Nika King', 'Storm Reid', 'Hunter Schafer', 'Algee Smith', 'and Sydney Sweeney', 'Labrinth TikTok', 'New Music', 'Columbia', 'Labrinth', 'Never Felt So Alone', 'Pop']"
8,Yahritza Y Su Esencia & Grupo Frontera - Frágil (Official Video),10,814740,67848,0,NaN,2023-04-07T04:00:11Z,162,"['yahritza y su esencia', 'soy el unico', 'yahritza martinez', 'yahritza', 'grupo frontera', 'grupofrontera', 'frontera', 'fragil', 'yahritza y su esencia soy el unico', 'yahritza y su esencia letra', 'Perdón es que no se la razón', 'Por que no tengo un corazón así', 'Así como el que te dieron a ti', 'Por que el que me tocó a mi es fragil', 'Por eso lo rompiste fácil']"
9,SIDHU MOOSE WALA : Mera Na (Official Video) Feat. Burna Boy & Steel Banglez | Navkaran Brar,10,13469842,2181513,0,NaN,2023-04-07T04:27:24Z,201,"['mera na sidhu moose wala', 'sidhu moose wala', 'mera na official video', 'mera na latest song 2023', 'sidhu moose wala latest song', 'sidhu moose wala mera na', 'mera na new music video', 'mera na sidhu moose wala official video', 'buurna boy', 'steel banglez', 'navkaran brar', 'latest punjabi song mera na', 'new punjabi song 2023']"
