,title,category_id,views,likes,favorites,comments,date,duration,tags
13,Kep1er 케플러 l 'Giddy' M/V,24,3764387,204047,0,NaN,2023-04-09T15:00:47Z,196,"['Kep1er', '케플러', 'kpop', '걸스플래닛', '걸스플래닛999', 'girlsplanet', 'girlsplanet999', '최유진', '김다연', '서영은', '김채현', '마시로', '샤오팅', '히카루', '휴닝바히에', '강예서', 'YUJIN', 'XIAOTING', 'MASHIRO', 'CHAEHYUN', 'DAYEON', 'HUENING BAHIYYIH', 'HIKARU', 'YESEO', 'YOUNGEUN', 'DOUBLAST', 'UP', 'up!']"
14,Ahsoka | Teaser Trailer | Disney+,24,9239387,266010,0,NaN,2023-04-07T11:36:21Z,112,"['ahsoka', 'ashoka', 'ahsoka tano', 'sabine wren', 'hera syndulla', 'ezra bridger', 'ghost crew', 'disney plus', 'ahsoka trailer', 'star wars celebration', 'star wars']"
15,I Spent 50 Hours with an NBA All-Star,17,1173538,42872,0,NaN,2023-04-08T21:03:00Z,1119,"['jesser', 'nba', 'nba all star', 'spending 50 hours with nba all star', 'grizzlies', 'jaren jackson jr', 'ja morant', 'nba vlog', 'nba behind the scenes', 'exclusive nba content', 'jesser nba', 'bts nba', 'living like an nba player', 'living with nba player']"
16,We Tried Boat Life,19,215993,12910,0,NaN,2023-04-09T15:00:07Z,1685,"['van life', 'living in a van', 'vanlife', 'eamon and bec', 'emon and bec', 'bec and eamon', 'van life couple', 'boat life', 'boat life vlog', 'boat life tour', 'boat life vs van life', 'sailing', 'sailing with no experience', 'espiritu santo', 'baja california sur', 'baja mexico by boat', 'boat tour', 'boat tour mexico', 'eamon and bec sailing la vagabonde']"
17,Israel Adesanya on UFC 287 win: I set the trap and Alex Pereira dove in | ESPN MMA,17,664416,13857,0,NaN,2023-04-09T06:16:34Z,431,"['israel adesanya', 'adesanya', 'izzy', 'israel adesanya ufc 287', 'israel adesanya post show', 'adesanya vs pereira', 'alex pereira', 'mma espn', 'espn mma', 'Israel Adesanya on UFC 287 win: I set the trap and Alex Pereira jumped in | ESPN MMA', 'espn ufc', 'ufc espn', 'ufc 287', 'ufc recap', 'ufc reaction', 'ufc news', 'mma news', 'ufc 287 reaction', 'ufc 287 recap', 'ultimate fighting championship', 'mixed martial artes', 'ufc', 'mma', 'espn', '#ufc287', 'ufc post', 'ufc post fight', 'brett okamoto', 'jon anik']"
18,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,24,4833567,253173,0,NaN,2023-04-07T16:00:10Z,171,"['Jack Black', 'Peaches', 'Peaches Song', 'Bowser', 'SUper Mario', 'Luigi', 'Donkey Kong', 'Seth Rogan', 'Lyrical Lemonade', 'COle Bennett', 'School of Rock', 'Nacho Libre', 'Tropic Thunder', 'music video', 'new']"
19,"After KO Victory, Shakur Tells Devin Haney ""To Come On. I've Been Waiting for a Long Time.""",17,287684,3004,0,NaN,2023-04-09T04:30:03Z,114,"['top rank boxing', 'shakur stevenson', 'shakur stevenson highlights', 'boxing', 'shakur stevenson vs yoshino', 'shakur vs yoshino', 'shakur stevenson vs shuichiro yoshino highlights', 'stevenson vs yoshino highlights', 'shakur vs yoshino highlights', 'shakur vs yoshino full fight', 'shakur stevenson vs shuichiro yoshino full fight', 'shakur stevenson vs shuichiro yoshino', 'shakur stevenson vs yoshino full fight', 'shakur stevenson vs yoshino highlights', 'stevenson vs yoshino', 'shakur post fight interview']"
20,Opening the WEIRDEST Fan Mail...,24,140638,5257,0,NaN,2023-04-09T15:00:38Z,483,"['julian elchakieh', 'julian', 'elchakieh', 'jmancurly', 'jman', 'vr', 'virtual reality', 'oculus quest', 'oculus quest 2', 'new vr games', 'virtual reality gaming', 'free vr games', 'jmancurly reacts', 'jmancurly new channel', 'jmancurly second channel', 'jmancurly discord', 'jmancurly fan mail', 'jmancurly fan mail unboxing', 'jmancurly po box']"
21,JISOO(지수) - FLOWER(꽃) @인기가요 inkigayo 20230409,24,3064033,397076,0,NaN,2023-04-09T09:33:05Z,207,"['Inkigayo', '인기가요직캠', '안방1열직캠', '스브스케이팝', '스브스 직캠', '인기가요', '인가', '음방', '음악방송', '지수 솔로', '지수', '블랙핑크', '지수 인기가요', '지수 꽃', '꽃', 'FLOWER', '지수 무대', '지수 안무', '꽃 안무', 'Yg', '지수 솔로 데뷔', '지수 인가', '지수 FLOWER']"
22,Went Over Budget at the Auction... Some things You Can't leave without!,2,312221,49619,0,NaN,2023-04-09T12:07:24Z,1667,NaN
23,I Betrayed 3 Factions in 1 Day,20,128514,9715,0,NaN,2023-04-09T17:00:10Z,614,"['Minecraft', 'Minecraft SMP', 'SMP', 'Minecraft Server', 'LifeSteal SMP', 'Parrot', 'Dream SMP', 'TommyInnit', 'LifeSteal', 'minecraft survival', 'minecraft hardcore', 'minecraft challenge', 'minecraft server', 'LifeSteal SMP Applications', 'Technoblade', 'HermitCraft', 'Grian', 'I Destroyed an Army on this Minecraft SMP', 'ClownPierce', 'Minecraft Hardcore', 'minecraft 100 days', 'minecraft revenge', 'minecraft mods', 'pvplegacy', 'deadliest smp', 'deadliest minecraft smp', 'last life', 'hardcore minecraft', 'minecraft hardcore survival']"
24,MURDER DRONES - Episode 4: Cabin Fever,1,2914090,203069,0,NaN,2023-04-07T22:00:09Z,1271,"['meta runner', 'glitch productions', 'funny', 'video game', 'webtoon', 'cartoon', '3d animation', 'animation', '2d animation', '3d art', 'animated web series', 'web series', 'online animation', 'newgrounds', 'nintendo', 'fortnite', 'minecraft', 'smg4', 'mario', 'supermarioglitchy4', 'anime', 'western shounen', 'naruto', 'my hero academia', 'zelda', 'glitch']"
25,Sorry i've been away,10,497798,114434,0,NaN,2023-04-08T19:56:08Z,536,NaN
26,Resident Evil 4,20,1336497,82100,0,NaN,2023-04-08T19:30:03Z,560,"['dunkey', 'videogamedunkey', 'resident evil 4', 'resident evil dunkey', 'resident evil 4 remake', 'resident evil', 'resident evil 4 ps5', 'resident evil 4 new', 'dunkey resident evil', 're4', 're4 remake', 'dunkey resident evil 4']"
27,Indiana Jones and the Dial of Destiny | Official Trailer,1,7926674,NaN,0,NaN,2023-04-07T11:57:51Z,129,NaN
28,Coding Your Explosive Minecraft Ideas,20,515193,38674,0,NaN,2023-04-08T14:00:08Z,1286,"['minecraft', 'but', 'minecraft but', 'minecraft mod', 'mod', 'cursed', 'difficulty', 'custom', 'custom difficulty', 'cursed difficulty', 'minecraft cursed', 'minecraft custom difficulty', 'rat', 'minecraft rats', 'minecraft rats mod', 'minecraft rat', 'custom mod', 'cursed minecraft', 'minecraft challenge', 'minecraft code', 'change code', 'mod minecraft', 'fundy', 'doctor4t', 'speed run', 'speedrun', 'speed runner', 'speedrunner', 'minecraft 1.17', 'minecraft 1.16', 'minecraft java', 'mods', 'minecraft mods']"
29,WE DEEP FRIED EVERYTHING,20,814797,49685,0,NaN,2023-04-08T14:00:04Z,2452,"['VR', 'Virtual Reality', 'The Boys', 'JoshDub', 'Mully', 'EddieVR', 'YourNarrator', 'Juicy', 'Comedy', 'Funny', 'Gaming']"
30,HIGHLIGHTS! Southampton 1-4 Man City | HAALAND DOUBLE AND RECORD-BREAKING DE BRUYNE INSPIRE WIN,17,4239469,78590,0,NaN,2023-04-08T21:00:04Z,137,"['man city', 'manchester city', 'mcfc', 'fifa 22', 'man city highlights', 'man city goals', 'city', 'man', 'city vs', 'man city vs', 'chelsea man city', 'man city news', 'man united', 'chelsea', 'liverpool', 'man city v', 'city fixtures', 'city vs united', 'man city fixtures', 'grealish man city', 'jack grealish man city', 'jack grealish', 'haaland']"
31,I Collected EVERY Mob Head in Hardcore Minecraft,20,453521,13263,0,NaN,2023-04-08T15:04:04Z,2694,"['minecraft', 'hardcore', 'survival', 'aust', '100 days', 'challenge', 'minecraft hardcore', 'minecraft but', 'music', 'lets play', 'episode', '1.19 hardcore', 'aust hardcore', 'minecraft lets play', 'aust minecraft', 'hardcore minecraft', 'mob head', 'i collected every mob head in minecraft', 'more mob heads datapack', 'i collected every mob head in minecraft hardcore', 'i collected every mob head in hardcore minecraft', 'minecraft every mob head', 'i collected every block in minecraft', 'I collected every mob in minecraft']"
32,$9 Sandwich Vs. $150 4-Course Dinner | Worth It Revisits,22,726108,28776,0,NaN,2023-04-08T15:00:43Z,1699,"['About to eat', 'worth it', 'Andrew Ilnyckyj', 'Steven Lim', 'Adam Bianchi', 'final season', 'final episode', 'series finale', 'revisiting previous chefs', 'bub and grandmas', 'heres looking at you', 'roast beef sandwich', 'donuts', 'boon sauce', 'camphor', 'los angeles restaurants', 'chicken mousse', 'dinner rolls', 'french fries', 'bread pudding', 'auburn restaurant', 'carlsbad restaurants', 'jeune et jolie', 'prix fixe', 'french food', 'scallops', 'truffle', 'quail', 'dessert']"
33,"My New $1,000,000 Warehouse Reveal!",24,320294,10967,0,NaN,2023-04-08T15:50:51Z,230,"['Ben Azelart', 'Paris Rosenbaum', 'Brent Rivera', 'Pierson Wodzynski', 'Derek Days', 'StayWild', 'Stay Wild', 'Ben Azelart Podcast', 'Lexi Rivera', 'Lexi Hensler', 'Stokes Twins', 'Alan Stokes', 'Alex Stokes', 'Jeremy Hutchins', 'Sofie Dossi', 'Dom Brack', 'Amp Squad', 'Stay Wild Podcast', 'Stay Wild Clips', 'Stay Wild Highlights', 'Impaulsive', 'Views', 'Podcast', 'TikTok', 'TikTok room', 'Drama', 'Bexi', 'Brierson', 'Lexi Rivera Boyfriend', 'Ben Azelart Girlfriend', 'Ben and Lexi', 'Brent and Pierson', 'Andrew Davila', 'Dom and Sofie', 'Dofie']"
34,YoungBoy Never Broke Again feat. Nicki Minaj - WTF ( Official Music Video),10,2699230,179084,0,NaN,2023-04-07T04:00:11Z,168,"['YoungBoy Never Broke Again', 'NBA YoungBoy', 'YoungBoy Quando Rondo', 'YoungBoy Leak', 'Make No Sense YoungBoy', 'Youngboy Lost Motives', 'YoungBoy NBA Music Video', 'YoungBoy Never Broke Again TOP', 'nba youngboy top', 'YoungBoy NBA TOP album', '7KTt4_M09Rw', '0C80BSgjb8M', 'qChxuVxs8FA', 'dYk-yCsuTUo', '6MCSr65d9Xc', 'ALimx-H8C6s', 'YoungBoy Never Broke Again Sincerely Kentrell', 'Sincerely Kentrell', 'Youngboy NBA Sincerely Kentrell', 'Sincerely Kentrell album', 'YBNBA Sincerely Kentrell', 'YB Sincerely Kentrell', 'Kentrell']"
35,100 YouTubers sent me a Pokémon for a Nuzlocke,20,1342474,70485,0,NaN,2023-04-07T17:18:23Z,2592,['alpharad']
36,Search & Rescue,10,1702867,64280,0,NaN,2023-04-07T04:01:46Z,273,"['Drake', 'ドレイク', 'Search & Rescue']"
37,NF - HAPPY,10,3096744,208966,0,NaN,2023-04-07T04:00:12Z,247,"['HAPPY', 'NF HOPE', 'HOPE NF', 'HAPPY music video', 'NF HAPPY music video', 'New NF', 'New NF music video', 'New NF video', 'NF music video', 'HAPPY video', 'music video', 'HAPPY official music video', 'NF HAPPY', 'HAPPY song', 'NF HAPPY song', 'HAPPY lyrics', 'New NF song', 'HAPPY rap', 'NF 2023', 'HAPPY audio', 'nfrealmusic', 'nf fans', 'nf official', 'NF lyrics', 'nf real music', 'new NF album', 'new NF music']"
38,Yahritza Y Su Esencia & Grupo Frontera - Frágil (Official Video),10,2315685,107663,0,NaN,2023-04-07T04:00:11Z,162,"['yahritza y su esencia', 'soy el unico', 'yahritza martinez', 'yahritza', 'grupo frontera', 'grupofrontera', 'frontera', 'fragil', 'yahritza y su esencia soy el unico', 'yahritza y su esencia letra', 'Perdón es que no se la razón', 'Por que no tengo un corazón así', 'Así como el que te dieron a ti', 'Por que el que me tocó a mi es fragil', 'Por eso lo rompiste fácil']"
39,We Became Drag Queens AGAIN,20,234423,35340,0,NaN,2023-04-08T15:00:25Z,778,"['misfits gaming', 'drag queen Ranboo', 'drag queen Aimsey', 'misfits drag queens', 'Ranboo makeover', 'Aimseymakeover', 'drag queen makeover', 'trying drag for first time', 'Ranboo aimsey drag', 'Ranboo aimsey misfits', 'aimsey and ranboo makeover', 'we tried drag makeovers', 'we became drag queens again']"
40,I Played Gorilla Tag 2...,24,671643,15958,0,NaN,2023-04-08T14:45:01Z,481,"['julian elchakieh', 'julian', 'elchakieh', 'jmancurly', 'jman', 'vr', 'virtual reality', 'oculus quest', 'oculus quest 2', 'new vr games', 'virtual reality gaming', 'free vr games', 'jmancurly discord', 'gorilla tag rec room', 'gorilla tag knock offs']"
41,I Think Faster Than Light Travel is Possible. Here's Why.,28,438794,29319,0,NaN,2023-04-08T12:00:10Z,1427,"['speed of light', 'faster than light', 'physics', 'can we travel at speed of light', 'how to travel at speed of light', 'why is the speed of light the limit', 'space travel', 'speed of light limit', 'speed of light limit explained', 'special relativity', 'special relativity explained', 'time travel', 'speed of light time paradox', 'hossenfelder', 'science without the gobbledygook']"
