,title,category_id,views,likes,favorites,comments,date,duration,tags
13,🧳EP.1-1ㅣ감독님의 과분한 사랑에 불만 토로하는(?) 겁리스 드림팀ㅣ🧳출장십오야2 X 드림,24,1297961,20702,0,NaN,2023-04-26T09:58:07Z,1507,"['나영석', '나PD', '아간세', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '라면먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '달나라공약이행프로젝트', '달나라프로젝트', '달나라', '젝스키스', '젝키', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '신원호', '조정석', '유연석', '장겨울', 'hospitalplaylist', '이식당', '나홀로이식당', '나노', '우주', '김준', '어깨춤', '언제까지어깨춤을추게할거야', '규현', '조규현', '조정뱅이', '슈퍼주니어', 'superjunior', '슈주', '악마는정남이를입는다', '악마정남', '배정남', '출장십오야', '출장', '슬기로운캠핑생활', '캠핑생활', '슬캠', '내과박원장', '이서진', 'BH', 'BTS', '하이브', 'hybe', '스타쉽', 'starship', 'txt', '르세라핌', 'lesserafim', '세븐틴', 'seventeen', '지구오락실', '지락실', '토롱이', '드림', '아이유', '박서준']"
14,김대호 나혼자산다 후기,22,657064,11596,0,NaN,2023-04-27T09:00:10Z,532,"['MBC아나운서', '아나운서', '문화방송', '박지민아나운서', '데일리룩', 'ootd', '여자아나운서', '브이로그', '스브스']"
15,이 맛있는 요리법 이제야 알았네요.👍👍 식사시간을  가족들이 손꼽아 기다리고있어요.  간단한 추천 오이 요리 3가지 강쉪,26,277776,1372,0,NaN,2023-04-27T05:00:31Z,531,"['korea food cooking', 'korea cooking', 'korea recipe', 'korea food recipe', 'receta de cocina de comida coreana', '韓国料理レシピ', 'resep masakan korea food', 'สูตรทำอาหารเกาหลี', 'công thức nấu ăn hàn quốc', 'Рецепт приготовления корейской кухни', '강쉪', '오이지', '물엿오이지', '오이샐러드', '오이무침', '오이국수', '오이요리', '오이게맛살무침', '오이국수만들기']"
16,"심으뜸과 탁재훈, 영혼의 이두근 맞다이 | 노빠꾸탁재훈 시즌2 EP.49",24,986954,16334,0,NaN,2023-04-27T09:00:34Z,702,"['신규진', '탁반장', '노빡구', '노빡탁', '탁제훈', '행주', '노바구', '노빡꾸', '싱규진', '신으뜸', '힙으뜸', '힘으뜸', '심읃듬', '시므뜸']"
17,R O U N D 5 ｜ Alien Stage,1,288106,44345,0,NaN,2023-04-28T11:00:09Z,242,NaN
18,이스타tv? 입으로 축구하는 형들이잖아요ㅋ(feat. 이스타tv),24,106235,2921,0,NaN,2023-04-28T09:00:24Z,1364,"['조나단', '흑인', '인간극장', 'FOR REAL LIFE', '콩고왕자', '전참시', '라디오스타', '파트리샤', '흑형', '피파온라인', '피파23', '이스타tv', '피파일짱조나단', '코쿤', '오킹', '플레이스테이션', '플스', '추맨', '번개맨', '맨유', '토트넘', '프리미어리그', '축구', '챔피언스리그']"
19,"EP.2 르세라핌과 한,미,일 놀이 비교 | ODG",24,1521856,77746,0,NaN,2023-04-27T08:30:09Z,708,NaN
20,"[59회 백상] ＂연진아, 나 지금 되게 신나＂ 진짜 연진을 만난 이수지의 패러디 | JTBC 230428 방송",24,976413,11579,0,NaN,2023-04-28T12:12:29Z,58,"['백상예술대상', '백상', 'baeksang', '100sang', '이수지', '임지연', '더글로리', 'SNL', '제59회백상예술대상', 'TV부문', '영화부문', '연극부문', '대상', '영화부문대상', '영화대상', '시상', '더글로리패러디', '더칼로리']"
21,엄마의 얼굴,1,664358,29789,0,NaN,2023-04-28T09:00:19Z,144,"['게임 만화', '병맛', '웃긴', '만화', '소맥거핀', '애니메이션', '게임 애니메이션', '웃긴 만화', '병맛 만화', '소맥거핀 애니메이션', '소맥거핀 만화', '영화/애니메이션', '게임', '코미디', '소맥', 'somacguffin', 'somacguffin animation', 'animation', 'meme']"
22,"한국의 산 음식 처음 먹어본 88세의 미국인 조부모님 반응!?! 미국인 조부모님이 처음으로 한국에 오셨습니다! 지리산 흑돼지 삼겹살, 파전, & 봄나물 외국인 반응!",22,156907,6576,0,NaN,2023-04-28T08:30:00Z,1021,"['외국인 먹방', '외국인 반응', '외국인코리아', '외국인 리액션', '맛집', '맛집투어', '맛집리뷰', '맛집여행', '맛집 영어로', '맛집 탐방', '맛집 리뷰', '먹방', '먹방 유튜버', '외국인', '외국인들', '한국어자막', 'Eating What is given', 'Korean food', 'Korea', 'Food', 'Foodie', 'Food Reaction', 'Food review', 'Mukbang', 'korean mukbang', '맛집 먹방', '맛집소개 유튜버', '외국인 먹방 유튜버', '먹방 브이로그', '맛집 브이로그', '오스틴 먹방', '오스틴 주는대로 먹는다', '오스틴 맛집', 'korean food vlogs', 'kfood', '어서와 한국은 처음이지', 'korean bbq', '외국인 반응 한국음식', '외국인 한국음식', 'korean food blogger', '한식 외국인 반응', '외국인 반응 한국']"
