,title,category_id,views,likes,favorites,comments,date,duration,tags
0,Grupo Frontera x Bad Bunny - un x100to (Video Oficial),10,7860354,663467,0,NaN,2023-04-17T16:00:14Z,195,"['bad bunny', 'grupo frontera', 'frontera', 'frontera grupo', 'bad bunny grupo frontera', 'grupo frontera bad bunny', 'bad bunny grupo frontera audio', 'un por ciento', 'un porciento', '1 porciento', 'UN X100TO', 'bad bunny grupo frontera unx100to', 'bad bunny un porciento', 'bad bunny un por ciento', 'grupo frontera un porciento', 'grupo frontera un por ciento', 'bad bunny grupo frontera un x100to', 'bad bunny un porciento audio', 'bad bunny 2023', 'uno por ciento', '1 por ciento', 'bad bunny un porciento letra', '2023']"
1,Starship Flight Test,28,5120230,148082,0,NaN,2023-04-17T13:34:36Z,2756,"['SpaceX', 'Space', 'Starship', 'Super Heavy', 'Mars', 'Starbase']"
2,"#7 LAKERS at #2 GRIZZLIES | FULL GAME 1 HIGHLIGHTS | April 16, 2023",17,3269572,38554,0,NaN,2023-04-16T21:47:50Z,584,"['Basketball', 'G League', 'NBA', 'game-0042200151']"
3,"Lakers steal Game 1 vs. Grizzlies; LeBron, AD, Rui & Reaves score 20+ in win | NBA | UNDISPUTED",17,643729,10280,0,NaN,2023-04-17T15:17:15Z,1314,"['NBA', 'Basketball', 'NBA Playoffs', 'UNDISPUTED', 'Shannon Sharpe', 'Skip Bayless', 'Skip and Shannon', 'Los Angeles Lakers', 'Lakers', 'LeBron James', 'LeBron', 'James', 'Anthony Davis', 'AD', 'Austin Reaves', 'Rui Hachimura', 'JA Morant', 'Jaren Jackson Jr', 'NBA news', 'sports', 'react', 'show', 'fs1', 'fox sports', 'fox sports 1', 'sports news', 'NBA on FOX', 'NBA on FS1', '2022 NBA Offseason', '2022-2023 NBA Seasonn', 'Eastern Conference', 'Western Conference', 'The Association']"
4,Inside Guys React to Austin Reaves' 4th QTR Takeover in Game 1 | NBA on TNT,17,729554,8510,0,NaN,2023-04-17T06:32:43Z,492,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']"
5,Inside Guys React to Thrilling Clippers-Suns Game 1 | NBA on TNT,17,787292,9969,0,NaN,2023-04-17T06:29:58Z,472,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']"
6,We Ruined An Award Show,24,6055991,414308,0,NaN,2023-04-16T19:02:26Z,1499,NaN
7,pain,23,1399229,39715,0,NaN,2023-04-16T21:31:52Z,1287,"['socksfor1', 'socksfor2', 'socksfor3', 'sockstudios', 'animations', 'animation', 'pain', ""i can't feel pain animation"", '3d animation', 'true story animation', 'short animation', 'socksfor1 animation', 'sock animations', 'among us animation', 'real story animation', 'socks animations', '2d animation', 'sasti animation', 'animation story', 'sockstudios things i hate', 'animation meme', '3d animation stories', 'story time animation', 'school stories animation']"
8,GOLDEN BUZZER is one of the BEST VOICES Simon's ever heard | Auditions | BGT 2023,24,1954844,40056,0,NaN,2023-04-16T19:40:39Z,540,"[""britain's got talent"", 'britains got talent', 'talent', 'bgt', 'ant and dec', 'ant', 'dec', 'simon cowell', 'david walliams', 'alesha dixon', 'amanda holden', 'got talent', 'bgt auditions', 'bgt judges', 'britains got talent auditions', 'british talent show', 'ant and dec on bgt', 'Great Britain', 'amazing auditions', 'london auditions', 'BGT 2022', ""Britain's Got Talent 2022"", 'UK Talent', 'Talent Show']"
9,"It's the Matrix, but for locusts.",27,1117529,66429,0,NaN,2023-04-17T15:00:19Z,425,"['tom scott', 'tomscott']"
