,date,duration,views,likes,category_id,hour,update_diff,id
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,270282,4583,24,10,30,
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,271779,4607,24,11,31,
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,273549,4640,24,12,32,
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,275454,4665,24,13,33,
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,277513,4693,24,15,34,
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,279632,4716,24,16,35,
UU2QP5ks3Ss,2023-05-14T04:46:54Z,330,280898,4762,24,17,36,
0,2023-05-14T04:46:54Z,330,283528,4810,24,18,37,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,287331,4857,24,19,38,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,291518,4905,24,20,39,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,296128,4955,24,21,40,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,300339,4995,24,22,41,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,304433,5018,24,23,42,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,307986,5029,24,0,43,UU2QP5ks3Ss
0,2023-05-14T04:46:54Z,330,310444,5043,24,1,44,UU2QP5ks3Ss
