,id,date,duration,views,likes,category_id,hour,update_diff
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,19582,271,26,13,29
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,19895,273,26,14,30
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,20153,273,26,15,31
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,20460,278,26,16,32
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,20674,279,26,17,33
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,20959,281,26,18,34
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,21228,282,26,19,35
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,21504,282,26,20,36
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,21721,284,26,21,37
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,21803,284,26,22,38
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,21975,288,26,23,39
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,22114,288,26,0,40
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,22327,291,26,1,41
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,22478,292,26,2,42
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,22750,293,26,3,43
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,22969,293,26,4,44
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23138,294,26,5,45
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23261,295,26,6,46
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23328,295,26,7,47
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23364,295,26,8,48
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23392,296,26,9,49
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23430,296,26,10,50
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23488,298,26,11,51
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23588,298,26,12,52
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23748,298,26,13,53
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23874,298,26,14,54
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,23960,299,26,15,55
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24101,299,26,16,56
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24208,299,26,17,57
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24290,300,26,18,58
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24457,299,26,19,59
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24517,300,26,20,60
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24646,299,26,21,61
0,3fJwdMTQekc,2023-05-18T08:00:01Z,607,24704,299,26,22,62
