,date,duration,views,likes,category_id,hour,update_diff,id
9GM56ypstH0,2023-05-07T08:00:11Z,870,306369,4401,23,10,194,
9GM56ypstH0,2023-05-07T08:00:11Z,870,306545,4404,23,11,195,
9GM56ypstH0,2023-05-07T08:00:11Z,870,306668,4404,23,12,196,
9GM56ypstH0,2023-05-07T08:00:11Z,870,306887,4404,23,13,197,
9GM56ypstH0,2023-05-07T08:00:11Z,870,307130,4406,23,14,198,
9GM56ypstH0,2023-05-07T08:00:11Z,870,307429,4411,23,15,199,
9GM56ypstH0,2023-05-07T08:00:11Z,870,307741,4413,23,16,200,
9GM56ypstH0,2023-05-07T08:00:11Z,870,307955,4413,23,17,201,
0,2023-05-07T08:00:11Z,870,308375,4415,23,18,202,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,308701,4416,23,19,203,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,309042,4417,23,20,204,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,309433,4420,23,21,205,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,309783,4424,23,22,206,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,310172,4424,23,23,207,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,310537,4427,23,0,208,9GM56ypstH0
0,2023-05-07T08:00:11Z,870,310908,4429,23,1,209,9GM56ypstH0
