,date,duration,views,likes,category_id,hour,update_diff,id
A3StcC2cD08,2023-05-14T11:30:06Z,444,29773,1078,27,10,24,
A3StcC2cD08,2023-05-14T11:30:06Z,444,31320,1120,27,11,25,
A3StcC2cD08,2023-05-14T11:30:06Z,444,33252,1164,27,12,26,
A3StcC2cD08,2023-05-14T11:30:06Z,444,35057,1200,27,13,27,
A3StcC2cD08,2023-05-14T11:30:06Z,444,36496,1217,27,15,28,
A3StcC2cD08,2023-05-14T11:30:06Z,444,37796,1247,27,16,29,
A3StcC2cD08,2023-05-14T11:30:06Z,444,38707,1264,27,17,29,
0,2023-05-14T11:30:06Z,444,40116,1283,27,18,30,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,41134,1317,27,19,31,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,42035,1345,27,20,32,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,43118,1383,27,21,33,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,44225,1404,27,22,34,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,45290,1419,27,23,35,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,46200,1430,27,0,36,A3StcC2cD08
0,2023-05-14T11:30:06Z,444,46896,1444,27,1,37,A3StcC2cD08
