,date,duration,views,likes,category_id,hour,update_diff,id
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1851526,89803,23,10,119,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1853362,89870,23,11,120,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1855478,89941,23,12,121,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1858089,90035,23,13,122,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1861171,90115,23,14,123,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1864279,90206,23,15,124,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1867396,90300,23,16,125,
6UOVXXwqc5I,2023-05-10T11:30:54Z,700,1869753,90375,23,17,125,
0,2023-05-10T11:30:54Z,700,1873778,90453,23,18,126,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1877016,90542,23,19,127,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1880520,90645,23,20,128,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1884782,90766,23,21,129,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1888685,90851,23,22,130,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1893200,90958,23,23,131,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1897641,91071,23,0,132,6UOVXXwqc5I
0,2023-05-10T11:30:54Z,700,1902966,91170,23,1,133,6UOVXXwqc5I
