,date,duration,views,likes,category_id,hour,update_diff,id
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1344892,42454,24,10,73,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1347088,42524,24,11,74,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1349176,42631,24,12,75,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1351872,42763,24,13,76,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1356511,42904,24,14,77,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1362948,43028,24,15,78,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1369637,43150,24,16,79,
yK4mTN3B1d8,2023-05-12T09:00:09Z,913,1373611,43257,24,17,80,
0,2023-05-12T09:00:09Z,913,1381162,43391,24,18,81,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1387135,43519,24,19,82,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1393317,43659,24,20,83,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1401353,43802,24,21,84,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1408365,43968,24,22,85,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1415331,44105,24,23,86,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1423331,44194,24,0,87,yK4mTN3B1d8
0,2023-05-12T09:00:09Z,913,1430152,44340,24,1,88,yK4mTN3B1d8
