,date,duration,views,likes,category_id,hour,update_diff,id
_DAygApipPg,2023-05-14T09:16:48Z,807,757754,19029,19,10,26,
_DAygApipPg,2023-05-14T09:16:48Z,807,773339,19365,19,11,27,
_DAygApipPg,2023-05-14T09:16:48Z,807,791113,19789,19,12,28,
_DAygApipPg,2023-05-14T09:16:48Z,807,811268,20077,19,13,29,
_DAygApipPg,2023-05-14T09:16:48Z,807,834638,20319,19,15,30,
_DAygApipPg,2023-05-14T09:16:48Z,807,853672,20534,19,16,31,
_DAygApipPg,2023-05-14T09:16:48Z,807,864248,20745,19,17,32,
0,2023-05-14T09:16:48Z,807,881448,20976,19,18,33,_DAygApipPg
0,2023-05-14T09:16:48Z,807,894412,21220,19,19,34,_DAygApipPg
0,2023-05-14T09:16:48Z,807,907543,21450,19,20,35,_DAygApipPg
0,2023-05-14T09:16:48Z,807,925861,21666,19,21,36,_DAygApipPg
0,2023-05-14T09:16:48Z,807,943639,21918,19,22,37,_DAygApipPg
0,2023-05-14T09:16:48Z,807,961890,22180,19,23,38,_DAygApipPg
0,2023-05-14T09:16:48Z,807,980084,22382,19,0,39,_DAygApipPg
0,2023-05-14T09:16:48Z,807,999288,22541,19,1,40,_DAygApipPg
