,id,date,duration,views,likes,category_id,hour,update_diff
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1429150,64316,17,19,657
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1429778,64333,17,20,658
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1430305,64352,17,21,659
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1430792,64370,17,22,660
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1431375,64387,17,23,661
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1431814,64406,17,0,662
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1432619,64428,17,1,663
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1433106,64442,17,2,664
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1434007,64457,17,3,665
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1434543,64478,17,4,666
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1435153,64490,17,5,667
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1435527,64498,17,6,668
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1435973,64503,17,7,669
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1436174,64512,17,8,670
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1436414,64523,17,9,671
0,qRs_kziks2I,2023-04-27T09:55:46Z,1833,1436631,64529,17,10,672
