,title,category_id,views,likes,favorites,comments,date,tags
10,[FULL영상] 연애의 참견2 다시보기 | EP.62,24,418792,1759,0,Nan,2020-02-21T07:00:14Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은', '연참드라마', '지수연', '오세현', '김장원', '이장미']"
11,[FULL영상] 연애의 참견2 다시보기 | EP.61,24,362863,1674,0,Nan,2020-02-14T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은', '연참드라마', '채주화', '김원식', '박보인']"
12,[FULL영상] 연애의 참견2 다시보기 | EP.60,24,511045,2104,0,Nan,2020-02-07T03:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은', '연참드라마']"
13,[FULL영상] 연애의 참견2 다시보기 | EP.59,24,426596,1824,0,Nan,2020-01-30T07:00:00Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
14,[FULL영상] 연애의 참견2 다시보기 | EP.58,24,358229,1656,0,Nan,2020-01-23T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
15,[FULL영상] 연애의 참견2 다시보기 | EP.57,24,364105,1533,0,Nan,2020-01-16T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
16,[FULL영상] 연애의 참견2 다시보기 | EP.56,24,437126,1895,0,Nan,2020-01-09T07:00:07Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
17,[FULL영상] 연애의 참견2 다시보기 | EP.55,24,450343,1830,0,Nan,2020-01-02T07:00:10Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
18,[FULL영상] 연애의 참견2 다시보기 | EP.54,24,297646,1270,0,Nan,2019-12-26T08:00:00Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
19,[FULL영상] 연애의 참견2 다시보기 | EP.53,24,451482,1756,0,Nan,2019-12-19T07:16:32Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
20,[FULL영상] 연애의 참견2 다시보기 | EP.52,24,417545,1646,0,Nan,2019-12-12T07:00:12Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
21,[FULL영상] 연애의 참견2 다시보기 | EP.51,24,478058,1826,0,Nan,2019-12-05T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
22,[FULL영상] 연애의 참견2 다시보기 | EP.50,24,498576,1957,0,Nan,2019-11-28T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
23,[FULL영상] 연애의 참견2 다시보기 | EP.49,24,342364,1542,0,Nan,2019-11-21T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
24,[FULL영상] 연애의 참견2 다시보기 | EP.48,24,463938,2140,0,Nan,2019-11-14T09:30:04Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
25,[FULL영상] 연애의 참견2 다시보기 | EP.47,24,346314,1556,0,Nan,2019-11-07T07:00:02Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
