,title,category_id,views,likes,favorites,comments,date,tags
0,"[선공개] 선남선녀를 위해 자리 비켜주는 박은빈😭 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,1535457,15565,0,Nan,2022-07-20T02:00:12Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
1,"진경 혼외자식 박은빈 인정한 전배수, 백지원에 경고 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,1817365,11084,0,Nan,2022-07-20T13:15:00Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
2,"""누군가 나를 좋아하는 건 쉽지 않아"" 영우의 가슴 아픈 자기성찰 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,322590,4432,0,Nan,2022-07-20T13:15:00Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
3,"박은빈 위해 겉옷 벗어주는 스윗남 강태오🥰 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,50546,928,0,Nan,2022-07-20T13:15:00Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
4,"[고발 엔딩] 낙하산 우영우  취업 비리 고발하는 권민우 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,627514,4625,0,Nan,2022-07-20T13:15:01Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
5,"뛰어난 기억력으로 위법 사유 찾은 우영우가 흥미로운 태수미 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,1430436,11200,0,Nan,2022-07-20T13:15:01Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
6,"""제가 이준호씨를 한 번 만져봐도 되겠습니까?"" 드디어 준호에게 직진하는 영우 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,596007,15620,0,Nan,2022-07-20T13:15:02Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
7,"강태오를 만져봐 강화도 팜므파탈 주현영의 솔루션 | 이상한 변호사 우영우 I EP07 I ENA 채널 I 매주 수, 목 오후 9시",24,91735,1478,0,Nan,2022-07-20T13:15:06Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
8,"뒤통수를 확! 명치를 확! 당당하게 맞선😤 박은빈 | 이상한 변호사 우영우 I EP08 I ENA 채널 I 매주 수, 목 오후 9시",24,987654,10950,0,Nan,2022-07-21T01:15:03Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
9,"[선공개] 진경, 박은빈에게 입사 제안 태산으로 올래요? | 이상한 변호사 우영우 I EP08 I ENA 채널 I 매주 수, 목 오후 9시",24,1899159,20548,0,Nan,2022-07-21T02:00:04Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
10,"[눈물 엔딩] 박은빈 친딸 사실 안 진경 나를 원망했니 | 이상한 변호사 우영우 I EP08 I ENA 채널 I 매주 수, 목 오후 9시",24,2877635,37113,0,Nan,2022-07-21T13:15:00Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
11,"돈 앞에서 사람의 마음처럼 나약한 건 없으니까요 | 이상한 변호사 우영우 I EP08 I ENA 채널 I 매주 수, 목 오후 9시",24,1462200,11209,0,Nan,2022-07-21T13:15:00Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
12,"그날 도망쳤던 박은빈, 강태오에게 좋아하는 마음 솔직 고백 | 이상한 변호사 우영우 I EP08 I ENA 채널 I 매주 수, 목 오후 9시",24,870778,12522,0,Nan,2022-07-21T13:15:01Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
13,"""태수미가 엄마야"" 충격적 사실에 계단에서 넘어진 영우 | 이상한 변호사 우영우 I EP08 I ENA 채널 I 매주 수, 목 오후 9시",24,428392,4332,0,Nan,2022-07-21T13:15:03Z,"['skyTV', '스카이티비', 'ENA', 'ENA채널', 'ENA드라마', 'ENA수목드라마', '수목드라마', '이상한변호사우영우', '우영우', '박은빈', '강태오', '강기영', '하윤경', '주종혁', '주현영']"
