,id,title,category_id,views,likes,favorites,comments,date,date_gap_hours,duration,tags
0,idlVIEUbykk,-,-,-,-,-,-,-,-,-,-
1,Gb30VkxwgFA,-,-,-,-,-,-,-,-,-,-
2,XQG6uzC1QDw,Diablo 4 Rogue - BETA 1 - PC - Episode 1,20,101,5,0,NaN,2023-03-19T10:00:28Z,34616.84,4704,NaN
3,gk8NNaDIlWQ,Diablo 4 Rogue - BETA 1 - PC - Episode 2,20,48,2,0,NaN,2023-03-21T10:00:33Z,31736.76,3565,NaN
4,EOCxZiCtYTg,Diablo 4 Rogue - BETA 1 - PC - Episode 3,20,49,3,0,NaN,2023-03-22T10:00:16Z,30297.05,7036,NaN
5,I9hqW5Mkfmw,Diablo 4 Rogue - BETA 1 - PC - Episode 4,20,46,3,0,NaN,2023-03-23T10:00:20Z,28856.98,3864,NaN
6,ccI4qWrAWHI,Diablo 4 Rogue - BETA 1 - PC - Episode 5,20,35,3,0,NaN,2023-03-24T10:00:33Z,27416.77,5386,NaN
7,vkPguzWwUWg,Diablo 4 Rogue - BETA 1 - PC - Episode 6,20,24,4,0,NaN,2023-03-27T10:00:40Z,23096.65,5110,NaN
8,Xtc3RfQbG1Q,Diablo 4 Rogue - BETA 1 - PC - Episode 7,20,30,4,0,NaN,2023-03-29T10:00:32Z,20216.79,7134,NaN
9,T3_e2kcRULU,Diablo 4 Rogue - BETA 1 - PC - Episode 8,20,47,3,0,NaN,2023-03-31T10:00:21Z,17336.98,6657,NaN
10,sqW1IlwLc-E,Diablo 4 Rogue - BETA 1 - PC - Episode 9,20,38,3,0,NaN,2023-04-05T10:00:43Z,10136.61,4590,NaN
11,fVOrTlbeHxY,Diablo 4 Sorceress - BETA 1 - PC - Episode 10,20,22,3,0,NaN,2023-04-11T10:00:25Z,1496.91,3632,NaN
